       차량 번호 : 0007
       기록 간격 : 10분

       상       호 :

      2024年07月23日
        	20:48S  A1:-20.7                                                                   

        	20:44    A1:-20.2                                                                   
        	20:34    A1:-19.0                                                                   
        	20:24    A1:-18.4                                                                   
        	20:14    A1:-18.4                                                                   
        	20:04    A1:-19.2                                                                   
        	19:54    A1:-20.4                                                                   
        	19:44    A1:-21.7                                                                   
        	19:34    A1:-22.7                                                                   
        	19:24    A1:-23.1                                                                   
        	19:14    A1:-22.8                                                                   
        	19:04    A1:-21.9                                                                   
        	18:54    A1:-20.6                                                                   
        	18:44P  A1:-19.3                                                                  
      USER STOP
